model,false_positive_rate,true_positive_rate,threshold
MLP,0.0,0.0,inf
MLP,0.0,0.0038748891984297833,0.9997511506080627
MLP,0.0,0.006800050652146385,0.9996798038482666
MLP,0.0,0.009421299227554768,0.9996309280395508
MLP,0.0,0.012979612511080157,0.9995532631874084
MLP,1.15758158056189e-05,0.016385969355451436,0.9994671940803528
MLP,1.15758158056189e-05,0.02053944535899709,0.9993454813957214
MLP,1.15758158056189e-05,0.025047486387235657,0.9991982579231262
MLP,4.63032632224756e-05,0.029466886159301,0.9989863038063049
MLP,9.26065264449512e-05,0.03635557806762062,0.9984629154205322
MLP,0.00010418234225057012,0.0456629099658098,0.9972345232963562
MLP,0.00028939539514047255,0.060947195137393946,0.9928021430969238
MLP,0.0005324875270584695,0.07217930859820185,0.9894756078720093
MLP,0.0007755796589764664,0.08011903254400406,0.9868005514144897
MLP,0.0010186717908944633,0.08880587564898063,0.9835680723190308
MLP,0.0013543704492574114,0.09585918703305052,0.9809226393699646
MLP,0.0016206142127866462,0.10391287830821831,0.977174699306488
MLP,0.0019678886869552133,0.10992782069140179,0.974378764629364
MLP,0.0023035873453181614,0.11556287197670001,0.9713876843452454
MLP,0.002592982740458634,0.12213498797011524,0.9680730104446411
MLP,0.002928681398821582,0.12766873496264405,0.9652034044265747
MLP,0.0032412284255732924,0.13368367734582753,0.9621403217315674
MLP,0.0035653512681306215,0.1405470431809548,0.9585177302360535
MLP,0.003924201558104808,0.1453463340509054,0.9556187987327576
MLP,0.004248324400662137,0.1511586678485501,0.9516695141792297
MLP,0.004584023059025085,0.1570089907559833,0.9476646184921265
MLP,0.004942873348999271,0.16182094466253008,0.9439749717712402
MLP,0.005290147823167838,0.1681777890338103,0.9393235445022583
MLP,0.005660573928947642,0.1731923515258959,0.9353281259536743
MLP,0.0060657274821443044,0.17782702292009625,0.9313226938247681
MLP,0.006447729403729728,0.1829682157781436,0.9272945523262024
MLP,0.006806579693703914,0.18737495251361277,0.9235615730285645
MLP,0.007258036510123051,0.19161706977333165,0.9198329448699951
MLP,0.0076168868000972365,0.1952007091300494,0.9165311455726624
MLP,0.007975737090071423,0.19913891351146004,0.9132614731788635
MLP,0.008380890643268085,0.2028745093073319,0.9097268581390381
MLP,0.008762892564853507,0.20606559452956819,0.9065341353416443
MLP,0.009144894486438931,0.20945928833734329,0.9033085107803345
MLP,0.009561623855441213,0.21311890591363808,0.8994826078414917
MLP,0.009943625777026637,0.21605673040395088,0.8964024782180786
MLP,0.010348779330223297,0.21905787007724453,0.8926834464073181
MLP,0.01074235706761434,0.22269216158034696,0.8890913724899292
MLP,0.011182238068227858,0.22561732303406357,0.8852080702781677
MLP,0.011633694884646996,0.22918829935418514,0.8810337781906128
MLP,0.012096727516871752,0.23155628719767,0.8775920867919922
MLP,0.012571335964902126,0.23382297074838546,0.8745362162590027
MLP,0.012988065333904408,0.23639356717740914,0.8707334995269775
MLP,0.013451097966129163,0.23925541344814485,0.8668757081031799
MLP,0.01401831294060449,0.24187666202355323,0.8623266220092773
MLP,0.014446618125412388,0.24505508420919336,0.8577589392662048
MLP,0.014898074941831525,0.24787894137014055,0.8537580966949463
MLP,0.015326380126639425,0.250145624920856,0.8503795266151428
MLP,0.015789412758864182,0.2527035583132835,0.8462795615196228
MLP,0.0162292937594777,0.2548689375712296,0.8422335982322693
MLP,0.016634447312674362,0.2575155122198303,0.8379372954368591
MLP,0.017109055760704737,0.25932632645308346,0.8347356915473938
MLP,0.017525785129707015,0.26171964036976064,0.8307744860649109
MLP,0.018035121025154248,0.2637457262251488,0.8267976641654968
MLP,0.018498153657379005,0.2657464860073446,0.8230614066123962
MLP,0.018949610473798142,0.26717740914271243,0.8199923038482666
MLP,0.019354764026994802,0.26896289730277323,0.8165084719657898
MLP,0.01981779665921956,0.2710522983411422,0.812297523021698
MLP,0.020292405107249934,0.2733949601114347,0.8078076839447021
MLP,0.02084804426591964,0.27519311130809165,0.803260862827301
MLP,0.02140368342458935,0.27711789287071037,0.7990197539329529
MLP,0.021855140241008486,0.27877675066480945,0.7947981357574463
MLP,0.022271869610010764,0.2807775104470052,0.7905340194702148
MLP,0.022711750610624283,0.28256299860706596,0.7868263125419617
MLP,0.023186359058654658,0.2847790300113967,0.781754732131958
MLP,0.023649391690879415,0.28715968089147775,0.7762982249259949
MLP,0.024066121059881696,0.28855261491705714,0.7731261849403381
