model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,selected
mlp,validation,0.54,0.7528768518184767,0.7537384460739907,0.8202287520794075,0.7492276263855437,0.7582492657624375,0.7831221682181398,0.5439547813862956,408434,130220,198865,594145,False
mlp,validation,0.55,0.7510753463336097,0.7535025235184368,0.823473836190583,0.7407951980428998,0.7662098489939738,0.7799495485926713,0.5357132129426041,412722,125932,205552,587458,False
mlp,validation,0.56,0.748951687512766,0.7529978989540123,0.8267200779516051,0.7318142268067237,0.7741815711013007,0.7763775398265131,0.5271404798808108,417016,121638,212674,580336,False
mlp,validation,0.57,0.7468145117687345,0.7524587022413315,0.8299946720409558,0.7229089166593107,0.7820084878233523,0.77275956287836,0.5186713765634574,421232,117422,219736,573274,False
mlp,validation,0.58,0.7444205144841342,0.7516684414871113,0.8331772935638011,0.7137223994653283,0.7896144835088944,0.7688375656445184,0.5101241754676855,425329,113325,227021,565989,False
mlp,validation,0.59,0.741747167453652,0.7506582201559582,0.8364266430148832,0.7040049936318583,0.797311446680058,0.7645240716699807,0.5012240324886759,429475,109179,234727,558283,False
mlp,validation,0.6,0.7388327686263202,0.7494411394537213,0.8396994440875359,0.6939017162456967,0.8049805626617458,0.7598701676207547,0.4921053659181295,433606,105048,242739,550271,False
mlp,validation,0.61,0.7356217484290332,0.7479630984445922,0.8429567200374576,0.683350777417687,0.8125754194714975,0.7548087537111621,0.48275015319179615,437697,100957,251106,541904,False
mlp,validation,0.62,0.7323446454961612,0.7464617275392638,0.8464400038724074,0.6725526790330513,0.8203707760454764,0.7495434292102713,0.47316665465162383,441896,96758,259669,533341,False
mlp,validation,0.63,0.7286763027310192,0.7446003019658146,0.8498204295429057,0.6612312581178044,0.8279693458138249,0.7437572604426264,0.4633511155967271,445989,92665,268647,524363,False
mlp,validation,0.64,0.7246347426978578,0.7423975267089112,0.8531163857082273,0.6494016468896987,0.8353934065281238,0.7374489674637599,0.45330353602710594,449988,88666,278028,514982,False
mlp,validation,0.65,0.7201456223191436,0.7398213498890942,0.856426458816666,0.6368103807013783,0.84283231907681,0.730468529637671,0.4427963810690985,453995,84659,288013,504997,False
mlp,validation,0.66,0.7155671400593543,0.7372124202314037,0.8600461355801975,0.6238899887769385,0.8505348516858688,0.7231769145147416,0.4319865972197191,458144,80510,298259,494751,False
mlp,validation,0.67,0.7104825241201985,0.7341558999347048,0.8635891523778251,0.6102155080011601,0.8580962918682494,0.7151225769458693,0.42078482259789257,462217,76437,309103,483907,False
mlp,validation,0.68,0.7050622379218782,0.7308181375435158,0.8672198408737265,0.5959748300778048,0.8656614450092267,0.7064558224077083,0.4092443739561932,466292,72362,320396,472614,False
mlp,validation,0.69,0.6993656057383845,0.7272492410051818,0.8709757876478079,0.5812663144222645,0.8732321675880992,0.6972238104313576,0.3974230736882577,470370,68284,332060,460950,False
mlp,validation,0.7,0.6932604620985474,0.7233218655411611,0.8747534362988547,0.5659373778388671,0.880706353243455,0.6872476191788751,0.38527135974239746,474396,64258,344216,448794,False
mlp,validation,0.71,0.6867130146943974,0.718962978656741,0.8783252967172352,0.5501204272329479,0.8878055300805341,0.6765180914867469,0.37298072186377346,478220,60434,356759,436251,False
mlp,validation,0.72,0.6799034891684389,0.7144016102098292,0.8821488337004612,0.5337889812234398,0.8950142391962187,0.6651158296153311,0.3603393949224429,482103,56551,369710,423300,False
mlp,validation,0.73,0.6726020978264787,0.7093992716459254,0.8859323316398228,0.516750104033997,0.9020484392578538,0.6527573353722642,0.34734737891840584,485892,52762,383222,409788,False
mlp,validation,0.74,0.6652083408427351,0.7042943710976408,0.8898323354907095,0.4996620471368583,0.9089266950584234,0.6399672455229087,0.33438915522233836,489597,49057,396773,396237,False
mlp,validation,0.75,0.657264895649353,0.6986779191711043,0.8935558247319019,0.4818627760053467,0.9154930623368619,0.6260949066564426,0.3211335592161386,493134,45520,410888,382122,False
mlp,validation,0.76,0.6492140660106454,0.6929692203330919,0.8975506330194871,0.46389200640597217,0.9220464342602116,0.6116549488681663,0.30778109192709274,496664,41990,425139,367871,False
mlp,validation,0.77,0.6405684917516731,0.6867492490861962,0.9016271131007134,0.4449729511607672,0.9285255470116253,0.5958705751035565,0.2938939552319504,500154,38500,440142,352868,False
mlp,validation,0.78,0.6317577106537385,0.6803390584535569,0.9056758560969006,0.42599462806269783,0.9346834888444159,0.5794422179550621,0.2801014369991229,503471,35183,455192,337818,False
mlp,validation,0.79,0.6225692066467217,0.6735896896945487,0.9098450656121305,0.4064753281799725,0.9407040512091249,0.5619142169061152,0.2660423350034243,506714,31940,470671,322339,False
mlp,validation,0.8,0.6131914657150753,0.6665986635489618,0.913729191540548,0.3869888147690445,0.946208512328879,0.5437042850777458,0.2522115188215646,509679,28975,486124,306886,False
mlp,validation,0.81,0.6035801823883502,0.6593829669463511,0.9177307735941813,0.36723118245671554,0.9515347514359868,0.5245592767581646,0.23829134075862982,512548,26106,501792,291218,False
mlp,validation,0.82,0.593709073760348,0.6518848044000201,0.92152854222362,0.3473096177853999,0.9564599910146402,0.5044862865343631,0.22443574355092577,515201,23453,517590,275420,False
mlp,validation,0.83,0.5835105552151293,0.6440730349229472,0.9253156155663239,0.32700218156139266,0.9611438882845017,0.483232332267418,0.2104479808720518,517724,20930,533694,259316,False
mlp,validation,0.84,0.5732444520539716,0.6361458667057958,0.9289714916215834,0.30682967427901287,0.9654620591325787,0.4612975421187886,0.1966885040070168,520050,18604,549691,243319,False
mlp,validation,0.85,0.5628416777805813,0.628025940426396,0.9321969976469816,0.28675804844831715,0.9692938324044749,0.438596964951126,0.18318584868255056,522114,16540,565608,227402,False
mlp,validation,0.86,0.5521047351283808,0.619623948956619,0.9357901084575614,0.26613157463335896,0.9731163232798791,0.4144085236064312,0.16935653438104506,524173,14481,581965,211045,False
mlp,validation,0.87,0.541403837604681,0.6111986304186359,0.9392727377866017,0.24579261295570043,0.9766046478815714,0.3896262773255721,0.15583360367179708,526052,12602,598094,194916,False
