model,recall,precision,threshold
MLP,0.991722298119996,0.6098444525651822,0.009914095513522625
MLP,0.9913702616373895,0.6102618546330039,0.010119620710611343
MLP,0.991021454847284,0.6106833311772959,0.01032809354364872
MLP,0.9906984855971863,0.6111179733197328,0.010518193244934082
MLP,0.9902915443420632,0.6115102031048072,0.010737852193415165
MLP,0.9899072109344469,0.6119111267276643,0.010946983471512794
MLP,0.9895777822993472,0.6123468633211424,0.011169821955263615
MLP,0.9891805301217271,0.6127451764950664,0.01138127502053976
MLP,0.9888381827166236,0.6131796033381599,0.011569791473448277
MLP,0.9884732274640131,0.6135959935364098,0.011770086362957954
MLP,0.9881567175989174,0.6140433619456079,0.011986342258751392
MLP,0.9877433169587924,0.6144375711963804,0.012190067209303379
MLP,0.987381591398683,0.6148635603037714,0.01240482646971941
MLP,0.9869843392210628,0.6152621130917627,0.012601930648088455
MLP,0.9865806276584407,0.6156587144351443,0.012824509292840958
MLP,0.9861446191708088,0.6160334913749622,0.013043397106230259
MLP,0.9858022717657052,0.6164676276283554,0.01324697770178318
MLP,0.9854631540531026,0.6169084420901527,0.013447276316583157
MLP,0.9850852800304883,0.6173334007994737,0.013651838526129723
MLP,0.9847267841628798,0.6177639190276182,0.013853717595338821
MLP,0.9843327616777606,0.6181717874035552,0.01406320370733738
MLP,0.9839096719601327,0.6185660159755696,0.014293148182332516
MLP,0.9834704337799998,0.618949666346191,0.0145083237439394
MLP,0.9830538034473738,0.6193483799028185,0.014720527455210686
MLP,0.982737293582278,0.6198098295473063,0.014917123131453991
MLP,0.9823465007896598,0.6202228357728087,0.015127303078770638
MLP,0.9819653970745446,0.6206491807160543,0.015341213904321194
MLP,0.9815746042819263,0.6210741209239213,0.015558583661913872
MLP,0.9811773521043061,0.6214997054106248,0.01576813869178295
MLP,0.9808188562366977,0.6219418788015318,0.015969347208738327
MLP,0.9804506712915864,0.6223814073257039,0.01617896929383278
MLP,0.980082486346475,0.6228218884560601,0.016387436538934708
MLP,0.9796755450913519,0.623239950277889,0.016589708626270294
MLP,0.9792072396787102,0.6236185586730758,0.01679799146950245
MLP,0.9788261359635949,0.6240497310831624,0.017005736008286476
MLP,0.9784159650159708,0.6244607104502101,0.017219683155417442
MLP,0.9779799565283389,0.6248625157603884,0.017430327832698822
MLP,0.9776150012757285,0.6253119370672131,0.017639247700572014
