model,selection_split,rule,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp
mlp,validation,max_balanced_accuracy,validation,0.53,0.7545011354215477,0.7537800157101556,0.8168898981520513,0.7575553902220653,0.750004641198246,0.7861046047552375,0.5522489156423843,403993,134661,192261,600749
xgboost,validation,max_balanced_accuracy,validation,0.6,0.7561456944094006,0.7543120007074092,0.8149984797565458,0.763912182696309,0.7447118187185094,0.7886288722603221,0.5581753355200711,401142,137512,187220,605790
lightgbm,validation,max_balanced_accuracy,validation,0.6,0.7561389359478067,0.7544108295579891,0.8152940178375445,0.7634582161637306,0.7453634429522477,0.7885251442269183,0.5576414170541518,401493,137161,187580,605430
ensemble,validation,max_balanced_accuracy,validation,0.57,0.7590165387064605,0.7564196448976168,0.8150873179124859,0.7700155105231964,0.7428237792720374,0.7919106142063548,0.5625735921373559,400125,138529,182380,610630
