model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,roc_auc,pr_auc,weight
mlp,test,0.53,0.7323886743010771,0.7288197137948129,0.7880593728474802,0.6125696154200624,0.8450698121695633,0.6893206280850518,0.37672497405094524,409509,75077,176559,279159,0.8201745263995834,0.8090792841507801,0.3315448553479668
xgboost,test,0.6,0.737539136279331,0.7340823251566321,0.7921872683689538,0.6214852167349106,0.8466794335783535,0.6965300398284879,0.3802163981010397,410289,74297,172496,283222,0.8280774339416945,0.8208333843883722,0.3343269117738769
lightgbm,test,0.6,0.7378007537987714,0.734380530288929,0.7916242600332932,0.6229751732431021,0.8457858873347559,0.6972465122447501,0.3813989943677789,409856,74730,171817,283901,0.8280604224605512,0.8207416572122398,0.3341282328781563
ensemble,test,0.57,0.7389663342918886,0.7356462325527497,0.7906962597570654,0.6275020955942052,0.8437903695112942,0.6997096817999973,0.38462135649747314,408889,75697,169754,285964,0.8289506170254497,0.8205389254217346,1.0
